Redshift,K-band mag,K-band dmag
 0.091, 14.840, 0.001
 0.194, 21.976, 0.741
 0.184, 18.403, 0.039
 0.119, 17.917, 0.025
 0.121, 21.430, 0.504
 0.196, 19.169, 0.077
 0.167, 15.240, 0.002
 0.185, 19.005, 0.067
 0.093, 20.140, 0.180
 0.093, 17.177, 0.013
 0.102, 16.270, 0.006
 0.057, 20.716, 0.290
 0.147, 16.123, 0.005
 0.185, 14.322, 0.001
 0.129, 19.727, 0.126
 0.183, 19.878, 0.144
 0.123, 20.508, 0.245
 0.142, 20.552, 0.254
 0.183, 17.510, 0.017
 0.187, 20.176, 0.186
 0.140, 17.601, 0.019
 0.176, 20.698, 0.286
 0.118, 17.562, 0.018
 0.125, 20.143, 0.180
 0.154, 21.182, 0.419
 0.139, 21.544, 0.549
 0.082, 17.907, 0.025
 0.191, 18.545, 0.044
 0.166, 19.557, 0.109
 0.151, 19.334, 0.089
 0.191, 16.913, 0.010
 0.181, 15.068, 0.002
 0.134, 16.158, 0.005
 0.174, 20.281, 0.203
 0.124, 19.786, 0.133
 0.066, 17.497, 0.017
 0.117, 20.816, 0.315
 0.127, 20.521, 0.248
 0.178, 21.667, 0.599
 0.170, 20.846, 0.322
 0.191, 19.353, 0.091
 0.142, 21.108, 0.396
 0.080, 15.955, 0.004
 0.175, 19.013, 0.067
 0.194, 19.686, 0.122
 0.109, 20.173, 0.185
 0.099, 21.744, 0.632
 0.066, 15.782, 0.004
 0.177, 21.461, 0.516
 0.164, 20.394, 0.223
 0.135, 20.835, 0.319
 0.155, 17.062, 0.011
 0.078, 18.630, 0.048
 0.177, 19.275, 0.085
 0.058, 17.259, 0.014
 0.109, 13.786, 0.001
 0.190, 19.212, 0.080
 0.125, 17.223, 0.013
 0.179, 20.742, 0.296
 0.184, 18.775, 0.054
 0.137, 21.493, 0.528
 0.059, 20.574, 0.259
 0.142, 21.153, 0.410
 0.195, 17.457, 0.016
 0.168, 18.826, 0.057
 0.106, 20.405, 0.225
 0.114, 20.721, 0.291
 0.112, 19.476, 0.101
 0.161, 18.464, 0.041
 0.144, 19.099, 0.073
 0.151, 20.184, 0.187
 0.045, 19.248, 0.083
 0.160, 21.349, 0.475
 0.173, 21.671, 0.600
 0.116, 17.986, 0.027
 0.059, 21.851, 0.681
 0.177, 19.622, 0.115
 0.198, 20.030, 0.164
 0.185, 21.402, 0.494
 0.041, 18.143, 0.031
 0.181, 21.509, 0.535
 0.156, 19.951, 0.153
 0.118, 18.853, 0.058
 0.099, 21.465, 0.518
 0.117, 21.569, 0.558
 0.177, 19.494, 0.103
 0.127, 19.457, 0.100
 0.154, 20.171, 0.185
 0.093, 21.352, 0.476
 0.018, 15.348, 0.002
 0.195, 21.373, 0.484
 0.037, 21.644, 0.589
 0.173, 16.260, 0.005
 0.174, 20.953, 0.351
 0.187, 18.234, 0.033
 0.080, 21.806, 0.660
 0.143, 16.539, 0.007
 0.114, 16.379, 0.006
 0.153, 15.755, 0.003
 0.117, 19.559, 0.109
 0.178, 20.204, 0.190
 0.152, 12.790, 0.000
 0.170, 21.474, 0.521
 0.129, 21.193, 0.422
 0.196, 15.293, 0.002
 0.130, 15.766, 0.003
 0.036, 17.097, 0.012
 0.144, 19.898, 0.146
 0.159, 21.711, 0.617
 0.187, 19.685, 0.122
 0.175, 19.600, 0.113
 0.120, 20.954, 0.351
 0.179, 13.078, 0.000
 0.120, 17.159, 0.012
 0.168, 21.473, 0.521
 0.182, 17.079, 0.012
 0.184, 18.203, 0.032
 0.089, 16.073, 0.005
 0.052, 20.535, 0.250
 0.061, 21.656, 0.594
 0.090, 14.625, 0.001
 0.182, 20.856, 0.325
 0.103, 17.672, 0.020
 0.150, 21.175, 0.417
 0.181, 21.328, 0.468
 0.190, 21.917, 0.712
 0.161, 20.525, 0.248
 0.138, 21.256, 0.443
 0.150, 19.760, 0.130
 0.177, 20.230, 0.194
 0.096, 18.743, 0.053
 0.180, 21.916, 0.711
 0.185, 17.053, 0.011
 0.168, 19.242, 0.082
 0.131, 16.982, 0.011
 0.116, 16.942, 0.010
 0.038, 21.544, 0.548
 0.105, 20.629, 0.270
 0.157, 18.753, 0.053
 0.159, 20.493, 0.242
 0.185, 21.506, 0.533
 0.131, 18.116, 0.030
 0.052, 16.731, 0.008
 0.153, 18.313, 0.036
 0.189, 19.987, 0.158
 0.196, 20.387, 0.222
 0.049, 16.028, 0.004
 0.160, 15.468, 0.003
 0.179, 14.153, 0.001
 0.129, 18.979, 0.065
 0.166, 19.972, 0.156
 0.072, 17.827, 0.023
 0.025, 20.878, 0.331
 0.064, 20.804, 0.312
 0.122, 20.239, 0.196
 0.188, 21.101, 0.394
 0.142, 19.957, 0.154
 0.141, 21.802, 0.658
 0.187, 19.568, 0.110
 0.189, 21.365, 0.481
 0.167, 19.417, 0.096
 0.177, 17.054, 0.011
 0.197, 15.609, 0.003
 0.150, 17.737, 0.021
 0.156, 20.715, 0.290
 0.164, 15.577, 0.003
 0.187, 20.892, 0.334
 0.108, 20.454, 0.234
 0.157, 19.378, 0.093
 0.175, 14.388, 0.001
 0.106, 17.323, 0.015
 0.150, 13.006, 0.000
 0.111, 21.157, 0.411
 0.196, 15.417, 0.003
 0.105, 19.718, 0.125
 0.159, 21.945, 0.725
 0.198, 17.320, 0.014
 0.091, 18.298, 0.035
 0.190, 20.755, 0.300
 0.190, 20.002, 0.160
 0.179, 21.086, 0.389
 0.147, 20.650, 0.275
 0.059, 21.368, 0.482
 0.122, 17.827, 0.023
 0.140, 21.643, 0.589
 0.183, 15.644, 0.003
 0.170, 17.853, 0.024
 0.197, 20.866, 0.327
 0.166, 18.976, 0.065
 0.150, 19.499, 0.103
 0.173, 15.924, 0.004
 0.184, 21.905, 0.706
 0.154, 20.857, 0.325
 0.177, 13.591, 0.000
 0.073, 16.278, 0.006
 0.103, 21.692, 0.610
 0.161, 21.655, 0.594
 0.194, 21.686, 0.607
 0.137, 20.823, 0.316
 0.137, 16.806, 0.009
 0.149, 21.819, 0.666
 0.115, 18.917, 0.062
 0.145, 17.233, 0.013
 0.145, 20.046, 0.166
 0.177, 19.059, 0.070
 0.124, 19.308, 0.087
 0.062, 20.492, 0.242
 0.178, 18.059, 0.028
 0.068, 21.443, 0.510
 0.171, 18.609, 0.047
 0.172, 21.717, 0.620
 0.076, 21.755, 0.637
 0.110, 21.479, 0.523
 0.190, 18.699, 0.051
 0.110, 18.654, 0.049
 0.191, 20.253, 0.198
 0.110, 20.711, 0.289
 0.110, 19.442, 0.098
 0.128, 19.663, 0.119
 0.107, 19.644, 0.117
 0.104, 21.850, 0.680
 0.164, 20.687, 0.284
 0.067, 21.693, 0.610
 0.188, 17.116, 0.012
 0.123, 19.671, 0.120
 0.087, 18.806, 0.056
 0.100, 19.231, 0.082
 0.194, 21.527, 0.541
 0.133, 19.859, 0.141
 0.122, 21.753, 0.636
 0.071, 21.893, 0.700
 0.175, 21.649, 0.591
 0.115, 18.712, 0.051
 0.136, 19.631, 0.116
 0.174, 18.677, 0.050
 0.126, 20.711, 0.289
 0.040, 18.360, 0.037
 0.078, 19.082, 0.071
 0.195, 20.745, 0.297
 0.113, 12.341, 0.000
 0.113, 19.859, 0.141
 0.183, 19.855, 0.141
 0.147, 19.410, 0.096
 0.186, 19.139, 0.075
 0.088, 15.443, 0.003
 0.178, 18.719, 0.052
 0.176, 15.314, 0.002
 0.192, 21.948, 0.727
 0.180, 21.100, 0.393
 0.169, 17.921, 0.025
 0.173, 14.926, 0.002
 0.182, 17.309, 0.014
 0.156, 13.209, 0.000
 0.119, 21.590, 0.567
 0.180, 20.833, 0.319
 0.112, 21.717, 0.620
 0.193, 19.625, 0.115
 0.156, 14.891, 0.002
 0.135, 18.696, 0.051
 0.119, 21.316, 0.463
 0.148, 21.347, 0.475
 0.130, 15.569, 0.003
 0.182, 20.763, 0.301
 0.054, 14.809, 0.001
 0.196, 21.342, 0.473
 0.071, 20.093, 0.173
 0.153, 18.269, 0.034
 0.140, 20.350, 0.215
 0.111, 18.419, 0.039
 0.122, 19.982, 0.157
 0.082, 15.668, 0.003
 0.056, 19.270, 0.084
 0.155, 18.794, 0.055
 0.146, 20.217, 0.192
 0.153, 21.134, 0.404
 0.190, 18.592, 0.046
 0.114, 20.109, 0.175
 0.042, 17.199, 0.013
 0.198, 21.503, 0.532
 0.034, 21.814, 0.663
 0.170, 20.838, 0.320
 0.055, 21.820, 0.666
 0.097, 21.376, 0.485
 0.156, 19.860, 0.142
 0.087, 15.376, 0.002
 0.157, 18.730, 0.052
 0.199, 21.082, 0.388
 0.166, 15.862, 0.004
 0.138, 19.073, 0.071
 0.119, 21.472, 0.520
 0.055, 20.061, 0.168
 0.123, 21.929, 0.718
 0.175, 18.968, 0.065
 0.187, 20.991, 0.361
 0.196, 17.935, 0.025
 0.101, 19.439, 0.098
 0.026, 20.830, 0.318
 0.137, 21.027, 0.372
 0.142, 21.624, 0.581
 0.123, 20.951, 0.350
 0.120, 21.512, 0.536
 0.124, 18.200, 0.032
 0.038, 21.617, 0.578
 0.182, 18.544, 0.044
 0.041, 21.873, 0.691
 0.145, 19.992, 0.159
 0.190, 20.264, 0.200
 0.115, 19.349, 0.091
 0.159, 19.904, 0.147
 0.155, 21.872, 0.690
 0.161, 18.990, 0.066
 0.177, 20.630, 0.271
 0.143, 16.276, 0.006
 0.070, 20.788, 0.308
 0.081, 21.592, 0.568
 0.169, 21.144, 0.407
 0.146, 20.156, 0.182
 0.085, 18.052, 0.028
 0.070, 15.592, 0.003
 0.121, 21.308, 0.461
 0.133, 21.636, 0.586
 0.183, 19.640, 0.117
 0.156, 20.814, 0.314
 0.152, 20.142, 0.180
 0.060, 20.023, 0.163
 0.164, 18.458, 0.041
 0.161, 20.533, 0.250
 0.196, 19.184, 0.078
 0.113, 19.997, 0.159
 0.154, 17.128, 0.012
 0.092, 19.987, 0.158
 0.117, 21.398, 0.493
 0.110, 14.966, 0.002
 0.188, 18.321, 0.036
 0.096, 16.726, 0.008
 0.154, 18.347, 0.037
 0.167, 20.881, 0.331
 0.176, 21.335, 0.470
 0.085, 21.174, 0.416
 0.168, 17.714, 0.021
 0.071, 20.875, 0.330
 0.054, 21.990, 0.748
 0.165, 15.755, 0.003
 0.128, 21.948, 0.727
 0.063, 21.002, 0.364
 0.163, 20.355, 0.216
 0.196, 19.425, 0.097
 0.185, 21.011, 0.367
 0.113, 14.517, 0.001
 0.162, 15.337, 0.002
 0.103, 19.113, 0.073
 0.111, 15.384, 0.002
 0.172, 21.415, 0.499
 0.184, 20.558, 0.255
 0.137, 21.094, 0.392
 0.165, 20.840, 0.321
 0.174, 21.758, 0.638
 0.102, 21.176, 0.417
 0.103, 21.970, 0.738
 0.108, 20.087, 0.172
 0.183, 18.497, 0.042
 0.191, 16.617, 0.008
 0.116, 16.570, 0.007
 0.132, 20.941, 0.347
 0.195, 20.308, 0.207
 0.177, 21.223, 0.432
 0.097, 21.843, 0.677
 0.126, 17.042, 0.011
 0.185, 21.217, 0.430
 0.097, 17.667, 0.020
 0.074, 18.221, 0.033
 0.190, 21.911, 0.709
 0.105, 19.246, 0.083
 0.140, 19.308, 0.087
 0.160, 21.669, 0.600
 0.133, 19.594, 0.112
 0.178, 17.763, 0.022
 0.198, 17.461, 0.016
 0.162, 21.706, 0.616
 0.192, 17.217, 0.013
 0.139, 17.850, 0.023
 0.197, 19.597, 0.113
 0.101, 20.937, 0.346
 0.175, 20.983, 0.359
 0.076, 21.036, 0.374
 0.157, 15.799, 0.004
 0.188, 18.787, 0.055
 0.070, 15.970, 0.004
 0.182, 20.102, 0.174
 0.126, 20.033, 0.164
 0.185, 17.898, 0.025
 0.185, 20.711, 0.289
 0.128, 21.751, 0.635
 0.187, 21.947, 0.727
 0.043, 20.593, 0.263
 0.066, 19.321, 0.088
 0.114, 17.457, 0.016
 0.165, 21.958, 0.732
 0.143, 21.588, 0.566
 0.181, 15.994, 0.004
 0.116, 19.210, 0.080
 0.138, 21.544, 0.548
 0.058, 13.916, 0.001
 0.096, 21.945, 0.726
 0.048, 19.036, 0.069
 0.075, 21.130, 0.402
 0.155, 20.872, 0.329
 0.189, 20.697, 0.286
 0.089, 15.865, 0.004
 0.184, 21.433, 0.506
 0.122, 21.968, 0.737
 0.189, 20.823, 0.316
 0.168, 16.353, 0.006
 0.187, 19.151, 0.076
 0.095, 19.065, 0.070
 0.120, 20.646, 0.274
 0.147, 21.293, 0.456
 0.175, 21.444, 0.510
 0.100, 20.282, 0.203
 0.140, 21.451, 0.512
 0.195, 18.163, 0.031
 0.065, 13.453, 0.000
 0.099, 20.343, 0.214
 0.170, 17.038, 0.011
 0.161, 16.765, 0.009
 0.033, 21.896, 0.702
 0.190, 18.199, 0.032
 0.117, 20.380, 0.220
 0.139, 17.978, 0.026
 0.122, 16.977, 0.011
 0.177, 20.931, 0.345
 0.165, 20.433, 0.230
 0.184, 18.465, 0.041
 0.195, 16.380, 0.006
 0.052, 19.063, 0.070
 0.191, 18.147, 0.031
 0.021, 20.223, 0.193
 0.197, 19.458, 0.100
 0.175, 20.416, 0.227
 0.190, 21.955, 0.730
 0.165, 17.102, 0.012
 0.161, 18.009, 0.027
 0.159, 14.973, 0.002
 0.196, 16.383, 0.006
 0.131, 20.239, 0.196
 0.109, 21.611, 0.575
 0.196, 16.138, 0.005
 0.144, 21.223, 0.432
 0.187, 21.481, 0.524
 0.070, 21.474, 0.521
 0.189, 21.401, 0.494
 0.031, 17.178, 0.013
 0.111, 21.651, 0.592
 0.154, 17.852, 0.024
 0.188, 20.643, 0.274
 0.192, 20.320, 0.209
 0.180, 19.564, 0.109
 0.177, 21.281, 0.452
 0.169, 19.466, 0.100
 0.172, 20.751, 0.299
 0.195, 21.748, 0.634
 0.065, 16.013, 0.004
 0.174, 19.442, 0.098
 0.062, 20.545, 0.253
 0.199, 21.644, 0.589
 0.080, 21.498, 0.530
 0.198, 15.388, 0.002
 0.148, 20.889, 0.333
 0.174, 21.954, 0.730
 0.143, 20.546, 0.253
 0.140, 17.690, 0.020
 0.102, 14.241, 0.001
 0.143, 21.372, 0.483
 0.171, 14.665, 0.001
 0.174, 19.989, 0.158
 0.088, 19.887, 0.145
 0.132, 15.603, 0.003
 0.162, 20.356, 0.216
 0.157, 20.491, 0.242
 0.180, 21.668, 0.599
 0.107, 16.843, 0.009
 0.130, 21.514, 0.537
 0.159, 21.184, 0.420
 0.158, 14.650, 0.001
 0.053, 19.947, 0.153
 0.058, 19.700, 0.123
 0.072, 18.972, 0.065
 0.122, 20.030, 0.164
 0.170, 17.564, 0.018
 0.049, 18.615, 0.047
 0.070, 18.943, 0.063
 0.198, 17.675, 0.020
 0.146, 18.386, 0.038
 0.045, 20.545, 0.252
 0.185, 21.524, 0.540
 0.130, 21.274, 0.449
 0.157, 14.469, 0.001
 0.078, 21.588, 0.566
 0.090, 19.737, 0.127
 0.183, 21.712, 0.618
 0.072, 13.448, 0.000
 0.099, 18.740, 0.053
 0.106, 17.912, 0.025
 0.170, 21.281, 0.451
 0.125, 19.908, 0.148
 0.126, 21.692, 0.609
 0.099, 17.947, 0.026
 0.124, 17.397, 0.016
 0.106, 13.077, 0.000
 0.163, 20.004, 0.160
 0.080, 17.678, 0.020
 0.071, 18.409, 0.039
 0.156, 18.854, 0.058
 0.149, 19.307, 0.087
 0.168, 20.839, 0.320
 0.063, 21.707, 0.616
 0.165, 21.809, 0.661
 0.132, 19.680, 0.121
 0.134, 20.782, 0.306
 0.139, 15.323, 0.002
 0.189, 20.543, 0.252
 0.136, 21.215, 0.430
 0.148, 21.002, 0.364
 0.135, 17.410, 0.016
 0.171, 16.958, 0.010
 0.049, 21.625, 0.581
 0.044, 17.347, 0.015
 0.135, 20.987, 0.360
 0.146, 15.935, 0.004
 0.191, 21.965, 0.735
 0.199, 16.743, 0.009
 0.168, 21.153, 0.410
 0.186, 21.711, 0.618
 0.106, 20.991, 0.361
 0.023, 20.162, 0.183
 0.183, 18.102, 0.030
 0.115, 13.605, 0.000
 0.135, 19.539, 0.107
 0.058, 21.663, 0.597
 0.151, 17.185, 0.013
 0.085, 17.465, 0.017
 0.094, 17.829, 0.023
 0.155, 14.533, 0.001
 0.176, 19.941, 0.152
 0.126, 17.606, 0.019
 0.029, 15.226, 0.002
 0.163, 18.798, 0.055
 0.166, 16.857, 0.009
 0.156, 17.161, 0.013
 0.172, 19.711, 0.124
 0.164, 20.668, 0.279
 0.126, 18.546, 0.044
 0.173, 19.552, 0.108
 0.113, 20.199, 0.189
 0.194, 20.918, 0.341
 0.139, 18.574, 0.045
 0.134, 19.990, 0.158
 0.066, 20.444, 0.232
 0.194, 18.916, 0.062
 0.077, 19.604, 0.113
 0.139, 20.878, 0.330
 0.105, 17.730, 0.021
 0.171, 21.511, 0.535
 0.119, 19.607, 0.114
 0.113, 21.990, 0.747
 0.185, 19.442, 0.098
 0.187, 18.184, 0.032
 0.186, 21.273, 0.449
 0.139, 16.704, 0.008
 0.137, 21.671, 0.600
 0.180, 21.818, 0.665
 0.173, 16.782, 0.009
 0.165, 20.481, 0.240
 0.188, 20.276, 0.202
 0.186, 20.921, 0.342
 0.196, 20.179, 0.186
 0.068, 21.499, 0.531
 0.184, 14.565, 0.001
 0.185, 20.382, 0.221
 0.090, 21.838, 0.675
 0.154, 17.099, 0.012
 0.086, 20.720, 0.291
 0.155, 21.982, 0.744
 0.196, 16.450, 0.007
 0.161, 19.319, 0.088
 0.197, 21.969, 0.737
 0.166, 17.210, 0.013
 0.168, 15.932, 0.004
 0.105, 21.791, 0.653
 0.161, 15.819, 0.004
 0.147, 18.678, 0.050
 0.132, 20.956, 0.351
 0.101, 18.062, 0.029
 0.157, 17.168, 0.013
 0.133, 20.702, 0.287
 0.093, 19.079, 0.071
 0.122, 19.494, 0.103
 0.200, 14.398, 0.001
 0.175, 17.230, 0.013
 0.121, 18.271, 0.034
 0.183, 21.585, 0.565
 0.141, 16.219, 0.005
 0.109, 14.882, 0.002
 0.143, 21.208, 0.427
 0.131, 16.281, 0.006
 0.148, 19.111, 0.073
 0.097, 20.733, 0.294
 0.149, 21.167, 0.414
 0.185, 18.527, 0.043
 0.069, 19.475, 0.101
 0.123, 18.908, 0.061
 0.097, 21.444, 0.510
 0.136, 21.694, 0.610
 0.186, 21.079, 0.387
 0.185, 21.686, 0.607
 0.165, 21.431, 0.505
 0.167, 20.864, 0.327
 0.109, 19.630, 0.116
 0.166, 17.505, 0.017
 0.115, 13.088, 0.000
 0.164, 15.320, 0.002
 0.189, 18.860, 0.059
 0.141, 20.532, 0.250
 0.140, 21.235, 0.436
 0.169, 14.265, 0.001
 0.157, 17.698, 0.020
 0.182, 15.658, 0.003
 0.190, 20.782, 0.306
 0.142, 21.422, 0.502
 0.115, 13.702, 0.001
 0.093, 18.692, 0.050
 0.076, 21.207, 0.427
 0.149, 20.780, 0.306
 0.125, 16.074, 0.005
 0.130, 20.868, 0.328
 0.101, 17.427, 0.016
 0.154, 20.221, 0.193
 0.053, 21.408, 0.496
 0.165, 21.045, 0.377
 0.190, 15.484, 0.003
 0.192, 21.045, 0.377
 0.139, 19.259, 0.084
 0.170, 21.889, 0.698
 0.176, 19.099, 0.073
 0.179, 21.589, 0.566
 0.148, 20.558, 0.255
 0.180, 21.931, 0.719
 0.182, 18.575, 0.045
 0.099, 17.485, 0.017
 0.161, 17.536, 0.018
 0.145, 20.968, 0.355
 0.107, 15.195, 0.002
 0.176, 21.805, 0.660
 0.174, 15.488, 0.003
 0.019, 17.075, 0.012
 0.090, 13.941, 0.001
 0.165, 17.593, 0.019
 0.032, 16.133, 0.005
 0.102, 20.137, 0.180
 0.164, 17.903, 0.025
 0.160, 17.349, 0.015
 0.073, 15.803, 0.004
 0.098, 20.439, 0.231
 0.128, 21.286, 0.453
 0.186, 19.674, 0.121
 0.130, 19.757, 0.130
 0.189, 20.831, 0.318
 0.199, 19.875, 0.143
 0.070, 21.750, 0.635
 0.127, 21.311, 0.462
 0.083, 16.737, 0.008
 0.194, 20.566, 0.257
 0.065, 20.959, 0.352
 0.119, 19.106, 0.073
 0.187, 20.511, 0.246
 0.141, 21.999, 0.752
 0.113, 20.455, 0.234
 0.146, 20.989, 0.361
 0.174, 17.118, 0.012
 0.035, 21.096, 0.392
 0.114, 20.643, 0.274
 0.179, 21.536, 0.545
 0.085, 19.532, 0.106
 0.131, 20.817, 0.315
 0.142, 21.551, 0.551
 0.143, 21.749, 0.634
 0.188, 21.363, 0.480
 0.143, 19.114, 0.074
 0.192, 16.214, 0.005
 0.132, 19.495, 0.103
 0.184, 17.756, 0.022
 0.134, 20.602, 0.264
 0.097, 18.156, 0.031
 0.095, 17.279, 0.014
 0.167, 16.186, 0.005
 0.162, 17.182, 0.013
 0.144, 21.126, 0.401
 0.067, 21.547, 0.549
 0.188, 18.781, 0.055
 0.125, 21.439, 0.508
 0.195, 20.225, 0.193
 0.106, 16.500, 0.007
 0.117, 20.157, 0.183
 0.116, 18.016, 0.027
 0.192, 14.943, 0.002
 0.176, 21.586, 0.565
 0.133, 18.168, 0.031
 0.138, 21.537, 0.546
 0.164, 18.467, 0.041
 0.190, 21.599, 0.571
 0.146, 20.417, 0.227
 0.128, 20.817, 0.315
 0.146, 12.077, 0.000
 0.135, 21.186, 0.420
 0.086, 20.895, 0.335
 0.183, 21.306, 0.460
 0.171, 21.468, 0.519
 0.054, 16.245, 0.005
 0.084, 19.275, 0.085
 0.157, 18.378, 0.038
 0.189, 21.842, 0.676
 0.053, 21.010, 0.367
 0.196, 17.659, 0.020
 0.115, 16.807, 0.009
 0.188, 20.265, 0.200
 0.091, 17.172, 0.013
 0.191, 20.330, 0.211
 0.152, 20.821, 0.316
 0.170, 18.889, 0.060
 0.116, 21.656, 0.594
 0.037, 20.291, 0.205
 0.157, 20.268, 0.201
 0.124, 16.896, 0.010
 0.072, 13.176, 0.000
 0.185, 20.034, 0.164
 0.179, 19.885, 0.145
 0.065, 20.877, 0.330
 0.093, 18.232, 0.033
 0.123, 20.432, 0.230
 0.107, 21.736, 0.629
 0.187, 17.774, 0.022
 0.186, 20.180, 0.186
 0.192, 20.960, 0.353
 0.120, 20.396, 0.223
 0.106, 21.898, 0.703
 0.188, 21.527, 0.541
 0.090, 21.570, 0.559
 0.188, 21.543, 0.548
 0.146, 17.841, 0.023
 0.164, 21.406, 0.496
 0.169, 21.164, 0.413
 0.111, 20.739, 0.296
 0.077, 19.876, 0.144
 0.190, 20.158, 0.183
 0.198, 16.068, 0.005
 0.139, 20.072, 0.170
 0.172, 15.502, 0.003
 0.166, 19.061, 0.070
 0.152, 16.064, 0.005
 0.098, 18.486, 0.042
 0.165, 19.095, 0.072
 0.128, 21.473, 0.521
 0.126, 19.557, 0.109
 0.171, 18.783, 0.055
 0.188, 16.480, 0.007
 0.162, 20.675, 0.281
 0.141, 18.553, 0.044
 0.183, 21.379, 0.486
 0.069, 21.833, 0.672
 0.104, 21.551, 0.551
 0.105, 19.276, 0.085
 0.087, 17.861, 0.024
 0.179, 18.391, 0.038
 0.128, 21.170, 0.415
 0.164, 19.802, 0.135
 0.119, 17.157, 0.012
 0.175, 20.256, 0.198
 0.141, 20.376, 0.220
 0.171, 18.386, 0.038
 0.035, 14.109, 0.001
 0.174, 20.930, 0.344
 0.134, 14.513, 0.001
 0.111, 18.025, 0.028
 0.156, 21.985, 0.745
 0.200, 14.145, 0.001
 0.158, 19.243, 0.082
 0.157, 17.924, 0.025
 0.110, 18.383, 0.038
 0.120, 21.561, 0.555
 0.117, 16.442, 0.006
 0.155, 20.487, 0.241
 0.138, 21.268, 0.447
 0.020, 20.215, 0.192
 0.085, 21.766, 0.642
 0.056, 16.870, 0.010
 0.178, 17.150, 0.012
 0.118, 20.755, 0.300
 0.123, 17.978, 0.026
 0.160, 17.940, 0.026
 0.133, 21.805, 0.660
 0.092, 21.892, 0.700
 0.088, 19.775, 0.132
 0.056, 21.709, 0.617
 0.171, 21.594, 0.569
 0.093, 20.170, 0.185
 0.054, 16.661, 0.008
 0.036, 20.940, 0.347
 0.156, 20.347, 0.214
 0.182, 17.975, 0.026
 0.135, 21.440, 0.508
 0.193, 16.735, 0.008
 0.175, 21.695, 0.611
 0.121, 20.785, 0.307
 0.149, 14.582, 0.001
 0.171, 21.948, 0.727
 0.163, 16.036, 0.004
 0.046, 21.286, 0.453
 0.159, 19.984, 0.158
 0.188, 21.396, 0.492
 0.067, 19.606, 0.114
 0.123, 21.123, 0.400
 0.181, 17.201, 0.013
 0.164, 21.119, 0.399
 0.149, 20.336, 0.212
 0.189, 18.497, 0.042
 0.185, 18.583, 0.046
 0.096, 19.870, 0.143
 0.161, 19.139, 0.075
 0.159, 19.082, 0.072
 0.179, 19.384, 0.093
 0.032, 19.479, 0.102
 0.166, 17.012, 0.011
 0.195, 16.715, 0.008
 0.193, 21.880, 0.694
 0.171, 21.630, 0.583
 0.076, 20.645, 0.274
 0.146, 18.326, 0.036
 0.181, 21.315, 0.463
 0.176, 21.409, 0.497
 0.098, 20.312, 0.208
 0.047, 21.373, 0.484
 0.170, 21.872, 0.690
 0.110, 20.239, 0.196
 0.117, 21.965, 0.735
 0.136, 20.725, 0.292
 0.190, 18.220, 0.033
 0.059, 20.029, 0.164
 0.107, 21.836, 0.674
 0.123, 21.726, 0.624
 0.200, 18.801, 0.056
 0.112, 21.110, 0.396
 0.096, 18.530, 0.044
 0.175, 16.409, 0.006
 0.114, 18.704, 0.051
 0.125, 19.249, 0.083
 0.104, 19.377, 0.093
 0.058, 21.847, 0.679
 0.126, 20.743, 0.297
 0.142, 21.969, 0.737
 0.114, 11.359, 0.000
 0.124, 21.326, 0.467
 0.116, 17.246, 0.014
 0.190, 16.393, 0.006
 0.173, 20.019, 0.162
 0.107, 16.825, 0.009
 0.080, 21.510, 0.535
 0.117, 17.917, 0.025
 0.122, 21.028, 0.372
 0.085, 20.435, 0.231
 0.194, 21.481, 0.524
 0.199, 16.775, 0.009
 0.108, 21.171, 0.415
 0.183, 21.824, 0.668
 0.107, 20.705, 0.288
 0.103, 20.700, 0.286
 0.159, 16.729, 0.008
 0.056, 20.659, 0.277
 0.183, 20.092, 0.173
 0.161, 19.172, 0.077
 0.169, 18.401, 0.039
 0.159, 21.132, 0.403
 0.152, 17.698, 0.020
 0.149, 18.043, 0.028
 0.154, 20.785, 0.307
 0.157, 18.875, 0.059
 0.192, 21.332, 0.469
 0.195, 21.373, 0.484
 0.186, 15.706, 0.003
 0.099, 20.478, 0.239
 0.061, 19.105, 0.073
 0.097, 20.094, 0.173
 0.141, 20.034, 0.164
 0.150, 21.859, 0.684
 0.160, 21.558, 0.554
 0.166, 19.326, 0.089
 0.197, 20.588, 0.262
 0.192, 20.311, 0.208
 0.189, 20.615, 0.267
 0.046, 15.505, 0.003
 0.107, 13.577, 0.000
 0.192, 20.618, 0.268
 0.114, 19.555, 0.109
 0.143, 19.287, 0.086
 0.141, 19.447, 0.099
 0.164, 21.641, 0.588
 0.090, 21.675, 0.602
 0.185, 20.591, 0.262
 0.089, 16.278, 0.006
 0.074, 19.374, 0.093
 0.171, 20.750, 0.298
 0.053, 19.002, 0.067
 0.172, 20.408, 0.225
 0.098, 17.633, 0.019
 0.163, 19.112, 0.073
 0.030, 17.168, 0.013
 0.178, 18.231, 0.033
 0.042, 17.281, 0.014
 0.188, 19.638, 0.117
 0.132, 20.944, 0.348
 0.177, 16.212, 0.005
 0.097, 15.703, 0.003
 0.155, 17.545, 0.018
 0.151, 20.438, 0.231
 0.134, 17.462, 0.016
 0.158, 21.277, 0.450
 0.108, 18.261, 0.034
 0.148, 18.149, 0.031
 0.148, 19.920, 0.149
 0.184, 21.544, 0.548
 0.145, 16.957, 0.010
 0.181, 20.063, 0.169
 0.177, 21.656, 0.594
